contract,field,ground_truth,model_output,model,method,reasoning,judgment
05_license_gopage.pdf,contract_type,License Agreement,License Agreement,gpt-5-mini,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
05_license_gopage.pdf,notice_period,"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",90 days,gpt-5-mini,llm_judge,The model output exactly matches the ground truth's notice period for preventing automatic renewal.,MATCH
05_license_gopage.pdf,expiration_date,"The initial term of this Agreement commences as of the Effective Date and, unless terminated earlier pursuant to any express provision of this Agreement, shall continue until five (5) years following the Effective Date (the ""Initial Term"").",five (5) years following the Effective Date,gpt-5-mini,llm_judge,"The model output accurately captures the expiration date, which is five years following the Effective Date, as specified in the ground truth.",MATCH
05_license_gopage.pdf,renewal_term,"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",One (1) additional three (3) year automatic renewal,gpt-5-mini,llm_judge,The model output correctly captures the auto-renewal for one additional three year term.,MATCH
05_license_gopage.pdf,parties,"PSiTech Corporation
Licensor
Licensee
Empirical Ventures, Inc.","PSiTech Corporation
Empirical Ventures, Inc.",flash,llm_judge,"Both the ground truth and model output contain the same LEGAL ENTITY NAMES: ""PSiTech Corporation"" and ""Empirical Ventures, Inc.""",MATCH
05_license_gopage.pdf,contract_type,License Agreement,License Agreement,flash,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
05_license_gopage.pdf,notice_period,"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",90 days,flash,llm_judge,The model correctly extracts the notice period of 90 days.,MATCH
05_license_gopage.pdf,expiration_date,"The initial term of this Agreement commences as of the Effective Date and, unless terminated earlier pursuant to any express provision of this Agreement, shall continue until five (5) years following the Effective Date (the ""Initial Term"").",5 years from the Effective Date,flash,llm_judge,"The model output '5 years from the Effective Date' correctly captures the same information as the ground truth, which states the agreement continues until five years following the Effective Date.",MATCH
05_license_gopage.pdf,renewal_term,"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",3 year auto-renewal,flash,llm_judge,"The model output accurately summarizes the renewal term as a 3-year auto-renewal, capturing the key information from the ground truth.",MATCH
06_license_morganstanley.pdf,parties,"Morgan Stanley Investment Management Inc.
Licensor
Licensee
Morgan Stanley Direct Lending Fund","Morgan Stanley Investment Management Inc.
Morgan Stanley Direct Lending Fund",sonnet,llm_judge,"The model output contains the same legal entity names as the ground truth, despite omitting the role labels.",MATCH
06_license_morganstanley.pdf,contract_type,License Agreement,License Agreement,sonnet,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
06_license_morganstanley.pdf,notice_period,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
06_license_morganstanley.pdf,expiration_date,"The term of this Agreement commences on the Effective Date and continues in perpetuity, unless termination occurs pursuant to Sections 4.2 through 4.4.",perpetual,sonnet,llm_judge,The model output correctly captures the concept of 'in perpetuity' with 'perpetual'.,MATCH
06_license_morganstanley.pdf,renewal_term,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
06_license_morganstanley.pdf,parties,"Morgan Stanley Investment Management Inc.
Licensor
Licensee
Morgan Stanley Direct Lending Fund","Morgan Stanley Investment Management Inc.
Morgan Stanley Direct Lending Fund",gpt-5,llm_judge,The model output correctly identifies the two legal entity names: 'Morgan Stanley Investment Management Inc.' and 'Morgan Stanley Direct Lending Fund'. It correctly excludes role labels.,MATCH
06_license_morganstanley.pdf,contract_type,License Agreement,License Agreement,gpt-5,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
06_license_morganstanley.pdf,notice_period,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
06_license_morganstanley.pdf,expiration_date,"The term of this Agreement commences on the Effective Date and continues in perpetuity, unless termination occurs pursuant to Sections 4.2 through 4.4.",perpetual,gpt-5,llm_judge,Model correctly extracts 'perpetual' which matches 'continues in perpetuity' in the ground truth.,MATCH
06_license_morganstanley.pdf,renewal_term,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
06_license_morganstanley.pdf,parties,"Morgan Stanley Investment Management Inc.
Licensor
Licensee
Morgan Stanley Direct Lending Fund","Morgan Stanley Investment Management Inc.
Morgan Stanley Direct Lending Fund",gpt-5-mini,llm_judge,"The model correctly extracted 'Morgan Stanley Investment Management Inc.' and 'Morgan Stanley Direct Lending Fund'. The Ground Truth also contains role labels (Licensor, Licensee) that are ignored per instructions, therefore the model output matches the ground truth.",MATCH
06_license_morganstanley.pdf,contract_type,License Agreement,License Agreement,gpt-5-mini,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
06_license_morganstanley.pdf,notice_period,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
06_license_morganstanley.pdf,expiration_date,"The term of this Agreement commences on the Effective Date and continues in perpetuity, unless termination occurs pursuant to Sections 4.2 through 4.4.",perpetual,gpt-5-mini,llm_judge,The model output 'perpetual' accurately reflects the ground truth 'continues in perpetuity'.,MATCH
06_license_morganstanley.pdf,renewal_term,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
06_license_morganstanley.pdf,parties,"Morgan Stanley Investment Management Inc.
Licensor
Licensee
Morgan Stanley Direct Lending Fund","Morgan Stanley Investment Management Inc.
Morgan Stanley Direct Lending Fund",flash,llm_judge,"The model correctly identifies the legal entities 'Morgan Stanley Investment Management Inc.' and 'Morgan Stanley Direct Lending Fund'. It omits the role labels 'Licensor' and 'Licensee', which is correct according to the instructions.",MATCH
06_license_morganstanley.pdf,contract_type,License Agreement,License Agreement,flash,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
06_license_morganstanley.pdf,notice_period,,,flash,empty_check,Both ground truth and model output are empty,MATCH
06_license_morganstanley.pdf,expiration_date,"The term of this Agreement commences on the Effective Date and continues in perpetuity, unless termination occurs pursuant to Sections 4.2 through 4.4.",perpetual,flash,llm_judge,"The model output ""perpetual"" correctly identifies that the agreement continues indefinitely, as stated in the ground truth ""continues in perpetuity"".",MATCH
06_license_morganstanley.pdf,renewal_term,,,flash,empty_check,Both ground truth and model output are empty,MATCH
07_license_cytodyn.pdf,parties,"Vyera
Vyera Pharmaceuticals, LLC
CytoDyn Inc.
CytoDyn and Vyera are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""
CytoDyn","Vyera Pharmaceuticals, LLC
CytoDyn Inc.",sonnet,llm_judge,"The model output includes all the correct legal entity names (Vyera Pharmaceuticals, LLC and CytoDyn Inc.). The ground truth includes Vyera and CytoDyn but they are also explicitly mentioned with the full legal entity names.",MATCH
07_license_cytodyn.pdf,contract_type,License Agreement,License Agreement,sonnet,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
07_license_cytodyn.pdf,notice_period,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
07_license_cytodyn.pdf,expiration_date,"The term of this Agreement (""Term"") shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article 11, shall expire on the last day of the Royalty Term.",on the last day of the Royalty Term,sonnet,llm_judge,The model output matches the ground truth. Both refer to the end date as the last day of the Royalty Term.,MATCH
07_license_cytodyn.pdf,renewal_term,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
07_license_cytodyn.pdf,parties,"Vyera
Vyera Pharmaceuticals, LLC
CytoDyn Inc.
CytoDyn and Vyera are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""
CytoDyn","Vyera Pharmaceuticals, LLC
CytoDyn Inc.",gpt-5,llm_judge,"The model correctly extracts the legal entity names 'Vyera Pharmaceuticals, LLC' and 'CytoDyn Inc.' from the provided text, which matches the ground truth. The fact that the ground truth has some repetitions ('Vyera', 'CytoDyn') doesn't change the correctness since we are evaluating the legal entity names.",MATCH
07_license_cytodyn.pdf,contract_type,License Agreement,License Agreement,gpt-5,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
07_license_cytodyn.pdf,notice_period,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
07_license_cytodyn.pdf,expiration_date,"The term of this Agreement (""Term"") shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article 11, shall expire on the last day of the Royalty Term.",Expires on the last day of the Royalty Term: until the latest of (a) expiration of last Valid Claim; (b) 10 years from First Commercial Sale; (c) expiration of any Regulatory Exclusivity; (d) Biosimilar Entry Date,gpt-5,llm_judge,"Both the ground truth and the model output identify the expiration date as being linked to the end of the Royalty Term. The model output provides a more detailed breakdown of what constitutes the Royalty Term, but fundamentally aligns with the ground truth.",MATCH
07_license_cytodyn.pdf,renewal_term,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
07_license_cytodyn.pdf,parties,"Vyera
Vyera Pharmaceuticals, LLC
CytoDyn Inc.
CytoDyn and Vyera are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""
CytoDyn","Vyera Pharmaceuticals, LLC
CytoDyn Inc.",gpt-5-mini,llm_judge,"The model correctly extracted the full legal entity names Vyera Pharmaceuticals, LLC and CytoDyn Inc.",MATCH
07_license_cytodyn.pdf,contract_type,License Agreement,License Agreement,gpt-5-mini,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
07_license_cytodyn.pdf,notice_period,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
07_license_cytodyn.pdf,expiration_date,"The term of this Agreement (""Term"") shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article 11, shall expire on the last day of the Royalty Term.","expire on the last day of the Royalty Term (Royalty Term = period beginning with the First Commercial Sale and continuing until the latest of (a) expiration of the last Valid Claim covering the Licensed Product licensed to Vyera, (b) ten (10) years from the date of the First Commercial Sale, (c) expiration of any Regulatory Exclusivity for the Licensed Product, and (d) the Biosimilar Entry Date)",gpt-5-mini,llm_judge,"The model output correctly identifies that the agreement expires on the last day of the Royalty Term, which matches the ground truth.",MATCH
07_license_cytodyn.pdf,renewal_term,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
07_license_cytodyn.pdf,parties,"Vyera
Vyera Pharmaceuticals, LLC
CytoDyn Inc.
CytoDyn and Vyera are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""
CytoDyn","Vyera Pharmaceuticals, LLC
CytoDyn Inc.",flash,llm_judge,"Both the ground truth and the model output identify the same two legal entities: Vyera Pharmaceuticals, LLC and CytoDyn Inc.",MATCH
07_license_cytodyn.pdf,contract_type,License Agreement,License Agreement,flash,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
07_license_cytodyn.pdf,notice_period,,,flash,empty_check,Both ground truth and model output are empty,MATCH
07_license_cytodyn.pdf,expiration_date,"The term of this Agreement (""Term"") shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article 11, shall expire on the last day of the Royalty Term.","latest of (a) expiration of last Valid Claim, (b) 10 years from First Commercial Sale, (c) expiration of Regulatory Exclusivity, or (d) Biosimilar Entry Date",flash,llm_judge,"The model output describes the conditions that determine the expiration date, aligning with the ground truth's reference to the 'Royalty Term'.",MATCH
07_license_cytodyn.pdf,renewal_term,,,flash,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,parties,"University
ArTara, Inc.
The University of Iowa
ArTara","ArTara, Inc.
The University of Iowa",sonnet,llm_judge,"The model output contains ""ArTara, Inc."" and ""The University of Iowa"" which are both legal entity names in the ground truth. The model output does not include ""University"" or ""ArTara"", which appear to be shorthand or incomplete versions of legal entity names found elsewhere in the ground truth.",MATCH
08_license_artara.pdf,contract_type,License Agreement,License Agreement,sonnet,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
08_license_artara.pdf,notice_period,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,expiration_date,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,renewal_term,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,parties,"University
ArTara, Inc.
The University of Iowa
ArTara","ArTara, Inc.
The University of Iowa",gpt-5,llm_judge,"The model output contains the same legal entities as the ground truth, even though it omits 'University' and 'ArTara'.",MATCH
08_license_artara.pdf,contract_type,License Agreement,License Agreement,gpt-5,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
08_license_artara.pdf,notice_period,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,expiration_date,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,renewal_term,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,parties,"University
ArTara, Inc.
The University of Iowa
ArTara","ArTara, Inc.
The University of Iowa",gpt-5-mini,llm_judge,"The model output correctly identifies ""ArTara, Inc."" and ""The University of Iowa"", which are the same as the ground truth (the ground truth also includes ""University"" and ""ArTara"", which are shorter versions of the other names).",MATCH
08_license_artara.pdf,contract_type,License Agreement,License Agreement,gpt-5-mini,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
08_license_artara.pdf,notice_period,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,expiration_date,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,renewal_term,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,parties,"University
ArTara, Inc.
The University of Iowa
ArTara","ArTara, Inc.
The University of Iowa",flash,llm_judge,"The model output includes 'ArTara, Inc.' and 'The University of Iowa', which are both present in the ground truth. Although 'University' and 'ArTara' are in the ground truth, they are shorthand aliases, not full legal entity names, and are therefore not required in the model output.",MATCH
08_license_artara.pdf,contract_type,License Agreement,License Agreement,flash,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
08_license_artara.pdf,notice_period,,,flash,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,expiration_date,,,flash,empty_check,Both ground truth and model output are empty,MATCH
08_license_artara.pdf,renewal_term,,,flash,empty_check,Both ground truth and model output are empty,MATCH
09_outsourcing_photronics.pdf,parties,"PDMC
Photronics
Company
Photronics, Inc.
Dai Nippon Printing Co., Ltd.
Photronics DNP Photomask Corporation
DNP
Xiamen American Japan Photronics Mask Co., Ltd.
Each of Photronics and DNP is hereinafter referred to as a ""Shareholder"" and collectively as the ""Shareholders"", each of the Shareholders and PDMC is hereinafter referred to as a ""Supplier"" and collectively as the ""Suppliers"", and each of the Suppliers and the Company is hereinafter referred to as a ""Party"" and collectively as the ""Parties.""","Photronics, Inc.
Dai Nippon Printing Co., Ltd.
Photronics DNP Photomask Corporation
Xiamen American Japan Photronics Mask Co., Ltd.",sonnet,llm_judge,"The model output correctly identifies all the legal entities specified in the ground truth, including variations of Photronics and Dai Nippon Printing Co., Ltd., as well as the joint venture and the Xiamen company. The model appropriately excludes shorthand aliases (e.g., DNP) and role labels, focusing solely on the legal entity names.",MATCH
09_outsourcing_photronics.pdf,contract_type,Outsourcing Agreement,Outsourcing Agreement,sonnet,exact_match,Exact match: 'Outsourcing Agreement' vs 'Outsourcing Agreement',MATCH
09_outsourcing_photronics.pdf,notice_period,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
09_outsourcing_photronics.pdf,expiration_date,"This Agreement shall become effective as of the Effective Date and shall continue to be in full force and effect for so long as Photronics and DNP, or any of their Affiliates, each remains a Shareholder of the Company.",,sonnet,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
09_outsourcing_photronics.pdf,renewal_term,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
09_outsourcing_photronics.pdf,parties,"PDMC
Photronics
Company
Photronics, Inc.
Dai Nippon Printing Co., Ltd.
Photronics DNP Photomask Corporation
DNP
Xiamen American Japan Photronics Mask Co., Ltd.
Each of Photronics and DNP is hereinafter referred to as a ""Shareholder"" and collectively as the ""Shareholders"", each of the Shareholders and PDMC is hereinafter referred to as a ""Supplier"" and collectively as the ""Suppliers"", and each of the Suppliers and the Company is hereinafter referred to as a ""Party"" and collectively as the ""Parties.""","Photronics, Inc.
Dai Nippon Printing Co., Ltd.
Photronics DNP Photomask Corporation
Xiamen American Japan Photronics Mask Co., Ltd.",gpt-5,llm_judge,"The model correctly identified the legal entities listed in the ground truth, excluding aliases and role labels. PDMC and Company were correctly omitted as they are not explicitly listed as names in the parties list.",MATCH
09_outsourcing_photronics.pdf,contract_type,Outsourcing Agreement,Outsourcing Agreement,gpt-5,exact_match,Exact match: 'Outsourcing Agreement' vs 'Outsourcing Agreement',MATCH
09_outsourcing_photronics.pdf,notice_period,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
09_outsourcing_photronics.pdf,expiration_date,"This Agreement shall become effective as of the Effective Date and shall continue to be in full force and effect for so long as Photronics and DNP, or any of their Affiliates, each remains a Shareholder of the Company.",Continues so long as Photronics and DNP (or their Affiliates) each remains a Shareholder of the Company,gpt-5,llm_judge,"Both the ground truth and the model output indicate that the agreement continues as long as Photronics and DNP (or their affiliates) remain shareholders of the company. Therefore, the model correctly captures the same information.",MATCH
09_outsourcing_photronics.pdf,renewal_term,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
09_outsourcing_photronics.pdf,parties,"PDMC
Photronics
Company
Photronics, Inc.
Dai Nippon Printing Co., Ltd.
Photronics DNP Photomask Corporation
DNP
Xiamen American Japan Photronics Mask Co., Ltd.
Each of Photronics and DNP is hereinafter referred to as a ""Shareholder"" and collectively as the ""Shareholders"", each of the Shareholders and PDMC is hereinafter referred to as a ""Supplier"" and collectively as the ""Suppliers"", and each of the Suppliers and the Company is hereinafter referred to as a ""Party"" and collectively as the ""Parties.""","Photronics, Inc.
Dai Nippon Printing Co., Ltd.
Photronics DNP Photomask Corporation
Xiamen American Japan Photronics Mask Co., Ltd.",gpt-5-mini,llm_judge,"The model output contains all the legal entity names found in the ground truth, even if some are abbreviated or presented in a different order. The aliases and roles were correctly ignored. PDMC, Photronics Company, and DNP were either aliases of other entities or descriptions.",MATCH
09_outsourcing_photronics.pdf,contract_type,Outsourcing Agreement,Outsourcing Agreement,gpt-5-mini,exact_match,Exact match: 'Outsourcing Agreement' vs 'Outsourcing Agreement',MATCH
09_outsourcing_photronics.pdf,notice_period,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
09_outsourcing_photronics.pdf,expiration_date,"This Agreement shall become effective as of the Effective Date and shall continue to be in full force and effect for so long as Photronics and DNP, or any of their Affiliates, each remains a Shareholder of the Company.","shall continue to be in full force and effect for so long as Photronics and DNP, or any of their Affiliates, each remains a Shareholder of the Company.",gpt-5-mini,llm_judge,"The Model Output correctly captures the condition upon which the agreement will terminate, which is equivalent to the expiration date.",MATCH
09_outsourcing_photronics.pdf,renewal_term,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
09_outsourcing_photronics.pdf,parties,"PDMC
Photronics
Company
Photronics, Inc.
Dai Nippon Printing Co., Ltd.
Photronics DNP Photomask Corporation
DNP
Xiamen American Japan Photronics Mask Co., Ltd.
Each of Photronics and DNP is hereinafter referred to as a ""Shareholder"" and collectively as the ""Shareholders"", each of the Shareholders and PDMC is hereinafter referred to as a ""Supplier"" and collectively as the ""Suppliers"", and each of the Suppliers and the Company is hereinafter referred to as a ""Party"" and collectively as the ""Parties.""","Photronics, Inc.
Dai Nippon Printing Co., Ltd.
Photronics DNP Photomask Corporation
Xiamen American Japan Photronics Mask Co., Ltd.",flash,llm_judge,"The model output captures the same legal entity names as the ground truth, even though it omits the shorthand aliases and role labels.",MATCH
09_outsourcing_photronics.pdf,contract_type,Outsourcing Agreement,Outsourcing Agreement,flash,exact_match,Exact match: 'Outsourcing Agreement' vs 'Outsourcing Agreement',MATCH
09_outsourcing_photronics.pdf,notice_period,,,flash,empty_check,Both ground truth and model output are empty,MATCH
09_outsourcing_photronics.pdf,expiration_date,"This Agreement shall become effective as of the Effective Date and shall continue to be in full force and effect for so long as Photronics and DNP, or any of their Affiliates, each remains a Shareholder of the Company.",,flash,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
09_outsourcing_photronics.pdf,renewal_term,,,flash,empty_check,Both ground truth and model output are empty,MATCH
10_outsourcing_paratek.pdf,parties,"Paratek Pharmaceuticals, Inc.
Customer
CARBOGEN AMCIS AG
""Supplier"" and, collectively with Customer, the ""Parties"", and each, a ""Party","Paratek Pharmaceuticals, Inc.
CARBOGEN AMCIS AG",sonnet,llm_judge,"The model correctly extracts the two legal entities 'Paratek Pharmaceuticals, Inc.' and 'CARBOGEN AMCIS AG' from the ground truth. The model excludes role labels like 'Customer' and 'Supplier' which is the desired behavior.",MATCH
10_outsourcing_paratek.pdf,contract_type,Outsourcing Agreement,Manufacturing Agreement,sonnet,exact_match,Exact match: 'Outsourcing Agreement' vs 'Manufacturing Agreement',NO_MATCH
10_outsourcing_paratek.pdf,notice_period,"This Agreement is effective as of the Effective Date and will expire in accordance with Section 2.1, unless, upon the occurrence of any of the following events, this Agreement is earlier terminated in accordance with this Section 18.1:

a) Customer delivers written notice of termination to Supplier at least [* * *] prior to the expiration date of the Initial Term, which termination shall be effective as of the expiration date of the Initial Term;

b) either Party delivers written notice of termination to the other Party at least [* * *] prior to the expiration date of the Renewal Term, which termination shall be effective as of the expiration date of the Renewal Term;",,sonnet,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,expiration_date,"This Agreement shall commence on the Effective Date and shall be valid until the [* * *] (the ""Initial Term"").",,sonnet,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,renewal_term,"Should the Parties have not agreed to the following agreement by [* * *], this Agreement shall automatically stay in force for a maximum of [* * *] (unless otherwise mutually agreed by the Parties or as otherwise set forth in Section 18.1(a)) or until the Parties have signed the follow-on agreement (the ""Renewal Term"").",,sonnet,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,parties,"Paratek Pharmaceuticals, Inc.
Customer
CARBOGEN AMCIS AG
""Supplier"" and, collectively with Customer, the ""Parties"", and each, a ""Party","Paratek Pharmaceuticals, Inc.
CARBOGEN AMCIS AG",gpt-5,llm_judge,"The model correctly identified both legal entities: 'Paratek Pharmaceuticals, Inc.' and 'CARBOGEN AMCIS AG'. It omitted role labels and shorthand as instructed.",MATCH
10_outsourcing_paratek.pdf,contract_type,Outsourcing Agreement,Supply Agreement,gpt-5,exact_match,Exact match: 'Outsourcing Agreement' vs 'Supply Agreement',NO_MATCH
10_outsourcing_paratek.pdf,notice_period,"This Agreement is effective as of the Effective Date and will expire in accordance with Section 2.1, unless, upon the occurrence of any of the following events, this Agreement is earlier terminated in accordance with this Section 18.1:

a) Customer delivers written notice of termination to Supplier at least [* * *] prior to the expiration date of the Initial Term, which termination shall be effective as of the expiration date of the Initial Term;

b) either Party delivers written notice of termination to the other Party at least [* * *] prior to the expiration date of the Renewal Term, which termination shall be effective as of the expiration date of the Renewal Term;",,gpt-5,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,expiration_date,"This Agreement shall commence on the Effective Date and shall be valid until the [* * *] (the ""Initial Term"").",,gpt-5,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,renewal_term,"Should the Parties have not agreed to the following agreement by [* * *], this Agreement shall automatically stay in force for a maximum of [* * *] (unless otherwise mutually agreed by the Parties or as otherwise set forth in Section 18.1(a)) or until the Parties have signed the follow-on agreement (the ""Renewal Term"").",,gpt-5,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,parties,"Paratek Pharmaceuticals, Inc.
Customer
CARBOGEN AMCIS AG
""Supplier"" and, collectively with Customer, the ""Parties"", and each, a ""Party","Paratek Pharmaceuticals, Inc.
CARBOGEN AMCIS AG",gpt-5-mini,llm_judge,"The model output captures both legal entities identified in the ground truth, ignoring role labels and shorthand aliases.",MATCH
10_outsourcing_paratek.pdf,contract_type,Outsourcing Agreement,Outsourcing Agreement,gpt-5-mini,exact_match,Exact match: 'Outsourcing Agreement' vs 'Outsourcing Agreement',MATCH
10_outsourcing_paratek.pdf,notice_period,"This Agreement is effective as of the Effective Date and will expire in accordance with Section 2.1, unless, upon the occurrence of any of the following events, this Agreement is earlier terminated in accordance with this Section 18.1:

a) Customer delivers written notice of termination to Supplier at least [* * *] prior to the expiration date of the Initial Term, which termination shall be effective as of the expiration date of the Initial Term;

b) either Party delivers written notice of termination to the other Party at least [* * *] prior to the expiration date of the Renewal Term, which termination shall be effective as of the expiration date of the Renewal Term;",,gpt-5-mini,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,expiration_date,"This Agreement shall commence on the Effective Date and shall be valid until the [* * *] (the ""Initial Term"").",,gpt-5-mini,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,renewal_term,"Should the Parties have not agreed to the following agreement by [* * *], this Agreement shall automatically stay in force for a maximum of [* * *] (unless otherwise mutually agreed by the Parties or as otherwise set forth in Section 18.1(a)) or until the Parties have signed the follow-on agreement (the ""Renewal Term"").",,gpt-5-mini,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
10_outsourcing_paratek.pdf,parties,"Paratek Pharmaceuticals, Inc.
Customer
CARBOGEN AMCIS AG
""Supplier"" and, collectively with Customer, the ""Parties"", and each, a ""Party","Paratek Pharmaceuticals, Inc.
CARBOGEN AMCIS AG",flash,llm_judge,"The model correctly identifies the two legal entity names (Paratek Pharmaceuticals, Inc. and CARBOGEN AMCIS AG), as specified in the ground truth. The model excludes the role labels and the collective name for the parties.",MATCH
10_outsourcing_paratek.pdf,contract_type,Outsourcing Agreement,Outsourcing Agreement,flash,exact_match,Exact match: 'Outsourcing Agreement' vs 'Outsourcing Agreement',MATCH
10_outsourcing_paratek.pdf,notice_period,"This Agreement is effective as of the Effective Date and will expire in accordance with Section 2.1, unless, upon the occurrence of any of the following events, this Agreement is earlier terminated in accordance with this Section 18.1:

a) Customer delivers written notice of termination to Supplier at least [* * *] prior to the expiration date of the Initial Term, which termination shall be effective as of the expiration date of the Initial Term;

b) either Party delivers written notice of termination to the other Party at least [* * *] prior to the expiration date of the Renewal Term, which termination shall be effective as of the expiration date of the Renewal Term;",[* * *] prior to expiration of Initial Term,flash,llm_judge,"The model output captures the idea of providing notice prior to the expiration of the initial term. However, the specific notice period duration is missing, so it's impossible to determine if it matches the ground truth without that specific length of time.",NO_MATCH
10_outsourcing_paratek.pdf,expiration_date,"This Agreement shall commence on the Effective Date and shall be valid until the [* * *] (the ""Initial Term"").",until the [* * *] from the Effective Date,flash,llm_judge,Both the ground truth and the model output indicate that the agreement is valid until a certain term (the Initial Term) from the Effective Date.,MATCH
